code,icao,name,latitude,longitude,elevation,url,time_zone,city_code,country,city,state,county,type
CUD,YCDR,Caloundra,-26.80301345,153.10787226279018,26,,Australia/Brisbane,CUD,AU,Dicky Beach,Queensland,Sunshine Coast,AP
CUE,SECU,Mariscal Lamar International Airport,-2.889343,-78.98689,8284,,America/Guayaquil,CUE,EC,Cuenca,Azuay,,AP
CUF,LIMZ,Levaldigi Airport,44.54739375,7.623336248505572,1253,http://www.aeroporto.cuneo.it/,Europe/Rome,CUF,IT,Centallo,Piedmont,Provincia di Cuneo,AP
CUG,YCUA,Cudal,-32.0,151.0,846,,Australia/Sydney,CUG,AU,,,,AP
CUH,KCUH,Municipal,35.983334,-96.76667,935,,America/Chicago,CUH,US,Cushing,Oklahoma,Payne County,AP
CUI,,Currillo,4.666667,-72.0,521,,America/Bogota,CUI,CO,Mani,Casanare,,AP
CUJ,,Culion,11.833333,120.0,439,,Asia/Manila,CUJ,PH,Bulalacao,Mimaropa,Province of Palawan,AP
CUK,MZCK,Caye Caulker,17.7351537,-88.0322953740101,16,,America/Belize,CUK,BZ,,,,AP
CUL,MMCL,Culiacan International Airport,24.76450365,-107.47833897947221,88,,America/Mazatlan,CUL,MX,El Diez,Sinaloa,Culiacan,AP
CUM,SVCU,Cumana,10.4510747,-64.13215209001493,32,,America/Caracas,CUM,VE,Cumana,Sucre,Municipio Sucre,AP
CUN,MMUN,Cancun International Airport,21.0407394,-86.8818149087711,72,http://www.asur.com.mx/asur/ingles/aeropuertos/cancun/cancun.asp,America/Cancun,CUN,MX,Alfredo V. Bonfil,Quintana Roo,,AP
CUO,SKCR,Caruru,1.033333,-71.23333,639,,America/Bogota,CUO,CO,,,,AP
CUP,SVCP,Carupano,10.660728500000001,-63.2615402262505,95,,America/Caracas,CUP,VE,Carupano,Sucre,Municipio Bermudez,AP
CUQ,YCOE,Coen,-13.76219095,143.11575726213246,498,,Australia/Brisbane,CUQ,AU,,,,AP
CUR,TNCC,Curacao International Airport,12.1890286,-68.96216089958281,13,,America/Curacao,CUR,CW,Sint Michiel Liber,,,AP
CUS,,Municipal,31.833332,-107.63333,4022,,America/Denver,CUS,US,Columbus,New Mexico,Luna County,AP
CUT,SAZW,Cutral,-38.9,-69.0,1870,,America/Argentina/Salta,CUT,AR,Plaza Huincul,Neuquen,,AP
CUU,MMCU,Gen Fierro Villalobos Airport,28.704048,-105.96952,4422,,America/Chihuahua,CUU,MX,Ninguno [CERESO],Chihuahua,Aquiles Serdan,AP
CUV,SVCG,Casigua,11.066667,-70.95,55,,America/Caracas,CUV,VE,Dabajuro,Falcon,Municipio Dabajuro,AP
CUW,,Cube Cove,57.941666,-134.75,0,,America/Juneau,CUW,US,,,,AP
CUX,,Cuddihy Field,27.75,-97.33611,0,,America/Chicago,CRP,US,,,,AP
CUY,YCUE,Cue,-27.4469307,117.9177756,1430,,Australia/Perth,CUY,AU,,,,AP
CUZ,SPZO,Alejandro Velasco Astete International Airport,-13.5362553,-71.93777215348605,10774,http://www.corpac.gob.pe/,America/Lima,CUZ,PE,Cusco,Cusco,Provincia de Cusco,AP
CVA,,Civic Ar Heli,40.496666,-80.23583,1122,,America/New_York,PIT,US,,,,AP
CVB,AYCB,Chungribu,-4.8066201,144.7149963,101,,Pacific/Port_Moresby,CVB,PG,,,,AP
CVC,YCEE,Cleve,-33.709539050000004,136.50503364234316,583,,Australia/Adelaide,CVC,AU,Cleve,South Australia,Cleve,AP
CVE,SKCV,Covenas,9.40092,-75.6913,78,,America/Bogota,CVE,CO,San Antero,Cordoba,,AP
CVF,LFLJ,Courchevel,45.397101,6.633762365254487,6568,,Europe/Paris,CVF,FR,Courchevel,Rhone-Alpes,Departement de la Savoie,AP
CVG,KCVG,Cincinnati/Northern Kentucky Airport,39.0555,-84.66145,866,http://www.cvgairport.com,America/New_York,CVG,US,Hebron,Kentucky,Boone County,AP
CVH,SAHE,Caviahue,-37.916668,-71.0,5787,,America/Argentina/Salta,CVH,AR,,,,AP
CVI,,Caleta Olivia,-46.416668,-67.416664,0,,America/Argentina/Rio_Gallegos,CVI,AR,Caleta Olivia,Santa Cruz,,AP
CVJ,MMCB,General Mariano Matamoros Airport,18.916668,-99.25,5003,,America/Mexico_City,CVJ,MX,Cuernavaca,Morelos,Cuernavaca,AP
CVL,,Cape Vogel,-9.466667,150.5,741,,Pacific/Port_Moresby,CVL,PG,,,,AP
CVM,MMCV,Ciudad Victoria Airport,23.713888,-98.96528,757,,America/Monterrey,CVM,MX,Ciudad Victoria,Tamaulipas,,AP
CVN,KCVN,Clovis Municipal Airport,34.42584135,-103.07970767542656,4179,,America/Denver,CVN,US,Texico,New Mexico,Curry County,AP
CVO,KCVO,Albany,44.63333,-123.11667,249,http://www.corvallisoregon.gov/index.aspx?page=160,America/Los_Angeles,CVO,US,Albany,Oregon,Linn County,AP
CVQ,YCAR,Carnarvon Airport,-24.883429,113.66358,32,,Australia/Perth,CVQ,AU,,,,AP
CVR,,Hughes,33.975,-118.417,26,,America/Los_Angeles,CVR,US,Marina del Rey,California,Los Angeles County,AP
CVS,KCVS,Cannon AFB,34.382445,-103.320967,4251,http://www.cannon.af.mil/,America/Denver,CVN,US,Cannon Air Force Base,New Mexico,Curry County,AP
CVT,EGBE,Coventry Airport,52.3699147,-1.481289537442902,203,http://www.coventryairport.co.uk/,Europe/London,CVT,GB,Ryton on Dunsmore,England,Warwickshire,AP
CVU,LPCR,Corvo Island (Azores) Airport,39.7,-31.1,1778,,Atlantic/Azores,CVU,PT,,,,AP
CWA,KCWA,Central Wisconsin Airport,44.7727172,-89.66716494412262,1236,,America/Chicago,AUW,US,Mosinee,Wisconsin,Marathon County,AP
CWB,SBCT,Afonso Pena International Airport,-25.5322,-49.176544,2956,,America/Sao_Paulo,CWB,BR,Sao Jose dos Pinhais,Parana,Sao Jose Dos Pinhais,AP
CWC,UKLN,Chernivtsi International Airport,48.26047165,25.9785329173081,728,,Europe/Kiev,CWC,UA,Chernivtsi,Chernivtsi,,AP
CWF,KCWF,Chennault International.,30.305918,-93.23189,29,http://www.chennault.org/,America/Chicago,LCH,US,Moss Bluff,Louisiana,Calcasieu Parish,AP
CWG,,Callaway Gardens,32.8418797,-84.8784817,892,,America/New_York,CWG,US,,,,AP
CWI,KCWI,Clinton,41.829445,-90.33195,698,,America/Chicago,CWI,US,Camanche,Iowa,Clinton County,AP
CWJ,ZPCW,Cangyuan Washan Airport,23.2772471,99.37478144463962,5744,,Asia/Chongqing,CWJ,CN,Mengdong,Yunnan,,AP
CWK,VECT,Chitrakoot Airport,25.167694,80.9358,1050,,Asia/Kolkata,CWK,IN,,,,AP
CWL,EGFF,Cardiff Airport,51.39850525,-3.339210332510528,252,http://www.cwlfly.com/,Europe/London,CWL,GB,Rhoose,Wales,Vale of Glamorgan,AP
CWO,,Ft Wolter AAF,32.8,-98.11667,872,,America/Chicago,MWL,US,,,,AP
CWP,,Campbellpore,33.766666,72.433334,1141,,Asia/Karachi,CWP,PK,Sanjwal,Punjab,,AP
CWR,YCWI,Cowarie,-27.7125889,138.32563455173027,49,,Australia/Adelaide,CWR,AU,,,,AP
CWS,78WA,Center Island,47.485,-122.83139,311,,America/Los_Angeles,CWS,US,,,,AP
CWT,YCWR,Cowra,-33.844791900000004,148.6487317274209,944,,Australia/Sydney,CWT,AU,Cowra,New South Wales,Cowra,AP
CWW,YCOR,Corowa,-35.966667,146.35,485,,Australia/Sydney,CWW,AU,Corowa,New South Wales,Corowa Shire,AP
CWX,P33,Cochise County Airport,32.2460187,-109.89478388178297,4192,,America/Phoenix,CWX,US,Willcox,Arizona,Cochise County,AP
CXA,SVCD,Caicara Del Orinoco,7.62584735,-66.16444198201162,134,,America/Caracas,CXA,VE,Maripa,Bolivar,Municipio Sucre,AP
CXB,VGCB,Coxs Bazar Airport,21.45533845,91.96405269840508,29,,Asia/Dhaka,CXB,BD,Cox's Bazar,Chittagong,,AP
CXC,CXC,Chitina Airport,61.5833487,-144.4322008,547,,America/Anchorage,CXC,US,,,,AP
CXF,PACX,Coldfoot,67.25154445000001,-150.20423999491425,1108,,America/Anchorage,CXF,US,,,,AP
CXH,CYHC,Coal Harbour Sea Plane Base,49.266666,-123.11667,82,,America/Vancouver,YVR,CA,,,,AP
CXI,PLCH,Christmas Island Airport,1.966667,-157.45,0,,Pacific/Kiritimati,CXI,KI,London Village,Line Islands,Kiritimati,AP
CXJ,SBCX,Hugo Cantergiani Regional Airport,-29.19705975,-51.1861647969846,2424,,America/Sao_Paulo,CXJ,BR,Caxias do Sul,Rio Grande do Sul,Caxias Do Sul,AP
CXL,KCXL,International,32.666668,-115.51667,-6,http://calexico.ca.gov/index.php?option=com_content&task=blogcategory&id=77&Itemid=90,America/Los_Angeles,CXL,US,Calexico,California,Imperial County,AP
CXN,HCMC,Candala,11.4957059,49.9105124,42,,Africa/Mogadishu,CXN,SO,Qandala,Bari,,AP
CXO,KCXO,Montgomery Co,30.316668,-95.45,226,https://web.archive.org/web/20160301220928/http://www.lonestarairport.org:80/,America/Chicago,CXO,US,Conroe,Texas,Montgomery County,AP
CXP,WIHL,Tunggul Wulung,-7.733333,109.0,32,,Asia/Jakarta,CXP,ID,Karangbadar Kidul,Central Java,,AP
CXQ,YCRK,Christmas Creek,-18.866667,125.916664,534,,Australia/Perth,CXQ,AU,,,,AP
CXR,VVCR,Cam Ranh International Airport,11.9968644,109.21728855358893,78,,Asia/Ho_Chi_Minh,NHA,VN,Cam Lam,Khanh Hoa,,AP
CXT,YCHT,Charters Towers,-20.046667,146.26917,935,,Australia/Brisbane,CXT,AU,,,,AP
CXY,MYCC,Cat Cays,25.416668,-77.816666,0,https://www.catcayyachtclub.com/club/scripts/library/view_document.asp?NS=IS&DN=AIRPORT,America/Nassau,CXY,BS,,,,AP
CYA,MTCA,Les Cayes,18.2700495,-73.7919727086445,196,,America/Port-au-Prince,CYA,HT,Les Cayes,Sud,,AP
CYB,MWCB,Charles Kirkconnel International Airport,19.690191,-79.87941,55,,America/Cayman,CYB,KY,,,,AP
CYC,,Caye Chapel,17.666668,-88.833336,104,,America/Belize,CYC,BZ,Shipyard,Orange Walk,,AP
CYD,MZMF,San Ignacio Town Airstrip,17.104722,-89.101389,351,,America/Belize,CYD,BZ,Benque Viejo del Carmen,Cayo,,AP
CYE,,Crystal Lake,41.210278,-75.83222,1843,,America/New_York,CYE,US,Georgetown,Pennsylvania,Luzerne County,AP
CYF,PACK,Chefornak Sea Plane Base,60.216667,-164.2,49,,America/Nome,CYF,US,,,,AP
CYG,YCRG,Corryong,-36.25,147.9,1551,,Australia/Melbourne,CYG,AU,,,,AP
CYI,RCKU,Chiayi Airport,23.459325550000003,120.39371622493724,82,http://www.cya.gov.tw/web/english/index.asp,Asia/Taipei,CYI,TW,Taibao,Taiwan,Chiayi,AP
CYL,MHCS,Coyoles,15.0,-86.5,3093,,America/Tegucigalpa,CYL,HN,Manto,Olancho,,AP
CYM,05AA,Chatham SPB,57.5,-135.0,1174,,America/Sitka,CYM,US,,,,AP
CYO,MUCL,Cayo Largo Del Sur Airport,21.616667,-81.51667,0,,America/Havana,CYO,CU,Jaguey Grande,Matanzas,,AP
CYP,RPVC,Calbayog Airport,12.069754,124.54583456483198,29,,Asia/Manila,CYP,PH,Sabang,Eastern Visayas,Province of Samar,AP
CYR,SUCA,Laguna De Los Patos,-34.166668,-57.5,423,,America/Montevideo,CYR,UY,Tarariras,Colonia,,AP
CYS,KCYS,Cheyenne,41.1528709,-104.819273,6174,,America/Denver,CYS,US,,,,AP
CYT,PACY,Intermediate,60.08,-142.49445,19,,America/Anchorage,CYT,US,,,,AP
CYU,RPLO,Cuyo,10.883333,121.0,0,,Asia/Manila,CYU,PH,Cuyo,Mimaropa,Province of Palawan,AP
CYW,MMCY,Celaya,20.5456333,-100.88527857395991,5731,,America/Mexico_City,CYW,MX,Colonia Fraccionamiento el Puente,Guanajuato,Celaya,AP
CYX,UESS,Cherskiy Airport,68.7427218,161.33244351843064,36,,Asia/Srednekolymsk,CYX,RU,Cherskiy,Sakha,,AP
CYZ,RPUY,Cauayan Airport,16.930542799999998,121.75222675737851,173,,Asia/Manila,CYZ,PH,Cauayan,Cagayan Valley,Province of Isabela,AP
CZA,MMCT,Chichen Itza,20.666668,-88.566666,118,http://www.chichen-itza-airport.com/,America/Merida,CZA,MX,Chichen-Itza,Yucatan,,AP
CZB,SSAK,Carlos Ruhl,-28.641666,-53.558334,1312,,America/Sao_Paulo,CZB,BR,Cruz Alta,Rio Grande do Sul,Cruz Alta,AP
CZC,Z93,Copper Centre,61.966667,-145.3,994,,America/Anchorage,CZC,US,,,,AP
CZE,SVCR,Coro,11.415833,-69.681946,45,,America/Caracas,CZE,VE,Coro,Falcon,,AP
CZF,PACZ,Cape Romanzof,61.7803453,-166.04040401105107,383,,America/Nome,CZF,US,,,,AP
CZH,,Corozal,18.38232605,-88.41086533906282,45,,America/Belize,CZH,BZ,,,,AP
CZJ,,Corazon De Jesus,9.570556,-79.368614,45,,America/Panama,CZJ,PA,Palenque,Colon,,AP
CZK,KCZK,Cascade Locks/Stevens,45.666668,-121.9,62,http://www.oregon.gov/Aviation/pages/warning.aspx#Cascade_Locks,America/Los_Angeles,CZK,US,Cascade Locks,Oregon,Hood River County,AP
CZL,DABC,Ain El Bey Airport,36.3051916,6.6184457,2332,,Africa/Algiers,CZL,DZ,Constantine,Constantine,,AP
CZM,MMCZ,Cozumel Airport,20.52296195,-86.92943828095508,26,http://www.asur.com.mx/,America/Cancun,CZM,MX,San Miguel de Cozumel,Quintana Roo,,AP
CZN,CZN,Chisana Field,62.07083,-142.05,3261,,America/Anchorage,CZN,US,,,,AP
CZO,CZO,Chistochina,62.5636319,-144.669765,1952,,America/Anchorage,CZO,US,,,,AP
CZP,Z71,Cape Pole,55.9661111,-133.7966667,0,,America/Sitka,CZP,US,,,,AP
CZR,UIAR,Chara Kyust-Kemda Airport,56.913333,118.27,2201,,Asia/Chita,CZR,RU,,,,AP
CZS,SBCZ,Campo Internacional Airport,-7.583333,-72.78333,646,http://www.infraero.gov.br/index.php/aeroportos/acre/aeroporto-cruzeiro-do-sul.html,America/Rio_Branco,CZS,BR,Cruzeiro do Sul,Acre,Cruzeiro Do Sul,AP
CZT,KCZT,Carrizo Springs,28.523977,-99.831245,629,,America/Chicago,CZT,US,Carrizo Springs,Texas,Dimmit County,AP
CZU,SKCZ,Corozal Airport,9.3375,-75.282776,544,,America/Bogota,CZU,CO,Morroa,Sucre,,AP
CZW,EPRU,Czestochowa,50.816666,19.1,859,,Europe/Warsaw,CZW,PL,Czestochowa,Silesian Voivodeship,Czestochowa,AP
CZX,ZSCG,Changzhou Airport,31.9184829,119.77841391568919,39,,Asia/Shanghai,CZX,CN,Luoxi,Jiangsu Sheng,,AP
CZY,YUNY,Cluny,-24.516666,139.53334,275,,Australia/Brisbane,CZY,AU,,,,AP
CZZ,,Campo,37.1,-102.583336,4314,,America/Los_Angeles,CZZ,US,Springfield,Colorado,Baca County,AP
DAA,KDAA,Davison AAF,37.5,-78.75,669,,America/New_York,DAA,US,Appomattox,Virginia,Appomattox County,AP
DAB,KDAB,Daytona Beach International Airport,29.181643899999997,-81.05426943447691,29,,America/New_York,DAB,US,Daytona Beach,Florida,Volusia County,AP
DAC,VGHS,Hazrat Shahjalal International Airport,23.84229135,90.40375285964708,32,,Asia/Dhaka,DAC,BD,Tungi,Dhaka,,AP
DAD,VVDN,Da Nang International Airport,16.0425792,108.19716127833769,26,,Asia/Ho_Chi_Minh,DAD,VN,Thanh Khe,Da Nang,,AP
DAF,,Daup,-4.733333,144.95,311,,Pacific/Port_Moresby,DAF,PG,,,,AP
DAG,KDAG,Barstow-Daggett,34.25,-117.333336,4632,,America/Los_Angeles,DAG,US,Crestline,California,San Bernardino County,AP
DAH,,Dathina,13.866667,46.13333,2483,,Asia/Aden,DAH,YE,Mudiyah,Abyan,Mudiyah,AP
DAJ,,Dauan Island,-9.433333,142.53334,187,,Australia/Brisbane,DAJ,AU,,,,AP
DAK,HEDK,Dakhla,25.414722,28.999166,495,,Africa/Cairo,DAK,EG,,,,AP
DAL,KDAL,Dallas Love Field,32.8450229,-96.8498413,495,http://www.dallas-lovefield.com/,America/Chicago,DFW,US,University Park,Texas,Dallas County,AP
DAM,OSDI,Damascus International Airport,33.4108334,36.51391166837934,1991,,Asia/Damascus,DAM,SY,Harran al `Awamid,Rif-dimashq,,AP
DAN,KDAN,Municipal,36.573055,-79.335,557,,America/New_York,DAN,US,Danville,Virginia,City of Danville,AP
DAO,,Dabo,-8.433056,147.84944,101,,Pacific/Port_Moresby,DAO,PG,,,,AP
DAP,VNDL,Darchula,29.668470399999997,80.54784910885797,2221,,Asia/Kathmandu,DAP,NP,Darchula,Western Region,,AP
DAR,HTDA,Julius Nyerere International Airport,-6.8741937,39.20752396159325,75,http://www.tanzaniairports.com/,Africa/Dar_es_Salaam,DAR,TZ,Dar es Salaam,Dar es Salaam,,AP
DAS,CFF4,Great Bear Lake,66.7031021,-119.707,541,,America/Yellowknife,DAS,CA,,,,AP
DAT,ZBDT,Datong Airport,40.06061715,113.4818546578876,3415,,Asia/Shanghai,DAT,CN,Beijiazao,Shanxi Sheng,,AP
DAU,AYDU,Daru Airport,-9.0867605,143.2079998419926,19,,Pacific/Port_Moresby,DAU,PG,,,,AP
DAV,MPDA,Enrique Malek Airport,8.383333,-82.433334,39,,America/Panama,DAV,PA,Pedregal,Chiriqui,,AP
DAX,ZUDX,Dazhou Heshi Airport,31.12818985,107.42848262928189,935,,Asia/Shanghai,DAX,CN,Xiwai,Sichuan,,AP
DAY,KDAY,James M. Cox Dayton International Airport,39.905318699999995,-84.22024542480268,1010,,America/New_York,DAY,US,Vandalia,Ohio,Montgomery County,AP
DAZ,OADZ,Darwaz,38.4611015,70.8824997,5019,,Asia/Kabul,DAZ,AF,Nusay,Badakhshan,,AP
DBA,OPDB,Dalbandin,28.873098,64.40751848244889,2782,,Asia/Karachi,DBA,PK,Dalbandin,Balochistan,,AP
DBB,HEAL,Alalamain International,30.924444,28.46139,65,,Africa/Cairo,DBB,EG,Al `Alamayn,Muhafazat Matruh,,AP
DBC,ZYBA,Baicheng Chang'an,45.5065501,123.02069991148937,449,,Asia/Harbin,DBC,CN,Deshun,Jilin Sheng,,AP
DBD,VEDB,Dhanbad,23.783333,86.45,767,,Asia/Kolkata,DBD,IN,Dhanbad,Jharkhand,Dhanbad,AP
DBK,,Dutch Bay SPB Seaplane Base,8.273,79.756,0,,Asia/Colombo,DBK,LK,Puttalam,North Western,,AP
DBM,HADM,Debra Marcos,10.319444,37.743057,7946,,Africa/Addis_Ababa,DBM,ET,Debre Mark'os,Amhara,,AP
DBN,KDBN,Municipal,32.561943,-82.986115,288,,America/New_York,DBN,US,Dublin,Georgia,Laurens County,AP
DBO,YSDU,Dubbo City Regional Airport,-32.2150208,148.5781247728455,866,http://www.dubbo.nsw.gov.au/BusinessandIndustry/DubboCityRegionalAirport.html,Australia/Sydney,DBO,AU,Dubbo,New South Wales,Dubbo Municipality,AP
DBP,AYDB,Debepare,-6.3082279,141.90482854785125,272,,Pacific/Port_Moresby,DBP,PG,,,,AP
DBQ,KDBQ,Dubuque Municipal Airport,42.41,-90.71083,1066,,America/Chicago,DBQ,US,Dubuque,Iowa,Dubuque County,AP
DBR,VE89,Darbhanga Airport,26.1967856,85.9118892,134,,Asia/Kolkata,DBR,IN,Darbhanga,Bihar,,AP
DBS,U41,Dubois,44.166668,-112.23333,5114,,America/Boise,DBS,US,Dubois,Idaho,Clark County,AP
